"Country","Paese"
"Allowed Credit Card Types","Tipi di carta di credito validi"
"Add Rule","Aggiungi regola"
"Braintree Settlement Report","Braintree Settlement Report"
"Sorry, but something went wrong","Siamo spiacenti, ma qualcosa è andato storto"
"We can\'t initialize checkout.","Non è possibile inizializzare il checkout."
"No authorization transaction to proceed capture.","Nessuna autorizzazione di transazione per procedere alla cattura."
"Braintree error response.","Risposta di errore di Braintree."
"Payment method nonce can\'t be retrieved.","Il metodo di pagamento non può essere recuperato."
"Wrong transaction status","Status di transazione errato"
"Authorize","Autorizza"
"Authorize and Capture","Autorizza e trattieni"
"--Please Select--","--Seleziona--"
"Please agree to all the terms and conditions before placing the order.","Si prega di accettare tutti i termini e le condizioni prima di effettuare l'ordine."
"Paypal account","Account Paypal"
"Coinbase account","Coinbase account"
"Europe bank account","Europe bank account"
"Credit card","Carta di credito"
"Apple pay card","paycard  Apple"
"Android pay card","Pay card Android"
"Authorization expired","Autorizzazione scaduta"
"Authorizing","Autorizzazione"
"Authorized","Autorizzato"
"Gateway rejected","Gateway rifiutato"
"Failed","Fallito"
"Processor declined","Processor declined"
"Settled","Settled"
"Settling","Settling"
"Submitted for settlement","Submitted for settlement"
"Voided","Annullato"
"Unrecognized","Non riconosciuto"
"Settlement declined","Settlement declined"
"Settlement pending","Settlement pending"
"Settlement confirmed","Settlement confirmed"
"Sale","Vendita"
"Credit","Credito"
"Credit Card Type","Tipo di carta di credito"
"Credit Card Number","Numero carta di credito"
"Please, enter valid Credit Card Number","Per favore inserisci un numero di carta di credito valido"
"Expiration Date","Data di scadenza"
"Please, enter valid Expiration Date","Per favore inserisci una data di scadenza valida"
"Card Verification Number","Numero di verifica della carta"
"Please, enter valid Card Verification Number","Per favore inserire un numero di verifica valido (CVN)"
"ending","fine"
"expires","scadenza"
"Credit Card Information","Informazioni carta di credito"
"What is this?","Cos'è questo?"
"Save for later use.","Salva per un uso successivo."
"Place Order","Effettua Ordine"
"This payment is not available","Questo pagamento non è disponibile"
"MM","MM"
"YY","AA"
"Please try again with another form of payment.","Si prega di riprovare con un\'altra forma di pagamento."
"Sorry, but something went wrong.","Siamo spiacenti, ma qualcosa non ha funzionato."
"BraintreeTwo","BraintreeTwo"
"&nbsp;","&nbsp;"
"Enable this Solution","Abilita questa soluzione"
"Enable PayPal through Braintree","Abilita PayPal attraverso Braintree"
"Basic BraintreeTwo Settings","Impostazioni base di BraintreeTwo"
"Title","Titolo"
"Environment","Ambiente"
"Payment Action","Azione di pagamento"
"Merchant ID","ID Venditore"
"Public Key","Chiave pubblica"
"Private Key","Chiave privata"
"Advanced Braintree Settings","Impostazioni avanzate Braintree"
"Merchant Account ID","ID Account Venditore"
"Advanced Fraud Protection","Protezione avanzata anti-frode"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Debug"
"CVV Verification","Verifica CVV"
"Credit Card Types","Tipi di carta di credito"
"Sort Order","Ordinamento"
"Country Specific Settings","Impostazioni specifiche paese"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Country Specific Credit Card Types","Tipi di carta di credito specifiche per paese"
"PayPal through Braintree","PayPal attraverso Braintree"
"Override Merchant Name","Sovrascrivi nome venditore"
"Require Customer's Billing Address","Richiede l'indirizzo di fatturazione del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Consente di modificare l'indirizzo di spedizione inserito durante il checkout lato PayPal"
"Display on Shopping Cart","Mostra nel carrello"
"3D Secure Verification Settings","Impostazioni di verifica 3D Secure"
"3D Secure Verification","Verifica 3D Secure"
"Threshold Amount","Importo soglia"
"Verify for Applicable Countries","Verifica per paesi applicabili"
"Verify for Specific Countries","Verifica per determinati paesi"
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Applicare filtri al fine di ottenere risultati. Verranno visualizzati solo primi 100 record nella griglia, sarai in grado di scaricare la versione completa del report in formato. csv."
"Select...","Seleziona..."
"Status","Status"
"Transaction Type","Tipo di Transazione"
"PayPal Payment ID","ID pagamento PayPal"
"Transaction ID","ID Transazione"
"Order ID","ID ordine"
"Payment Type","Modalità di pagamento"
"Type","Tipo"
"Created At","Creato il"
"Amount","Importo"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Id di rimborso"
"Settlement Batch ID","Settlement Batch ID"
"Currency","Valuta"
