"Root","Root"
"Save Category","Salva la categoria"
"Delete Category","Elimina categoria"
"Reset","Reset"
"New Subcategory","Nuova sottocategoria"
"New Root Category","Nuova Categoria di Root"
"Set Root Category for Store","Imposta Categoria di Root per il Negozio"
"Use Config Settings","Usa Impostazioni di configurazione"
"Use All Available Attributes","Usa tutti gli attributi disponibili"
"Custom Design","Design Personalizzato"
"ID","ID"
"Name","Nome"
"SKU","SKU"
"Price","Prezzo"
"Position","Posizione"
"Category Data","Dati categoria"
"Category Products","Prodotti della categoria"
"Add Subcategory","Aggiungi Sottocategoria"
"Add Root Category","Aggiungi categoria di Root"
"Day","Giorno"
"Month","Mese"
"Year","Anno"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>da</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>a</span></label>"
"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Aggiungi prodotto"
"label","etichetta"
"Product Attributes","Attributi prodotto"
"Add New Attribute","Aggiungi un nuovo attributo"
"Save in New Attribute Set","Salva nel nuovo Gruppo di attributi"
"Enter Name for New Attribute Set","Inserisci il nome del nuovo Gruppo di attributi"
"Save and Continue Edit","Salva e continua modifica"
"Save Attribute","Salva Attributo"
"Delete Attribute","Elimina l'attributo"
"Edit Product Attribute ""%1""","Modifica l'attributo prodotto ""%1"""
"New Product Attribute","Nuovo Attributo prodotto"
"Advanced Attribute Properties","Proprietà attributo avanzate"
"Attribute Code","Codice Attributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Utilizzato internamente. Assicurarsi di non utilizzare spazi o più di %1 simboli."
"Default Value","Valore predefinito"
"Unique Value","Valore unico"
"Unique Value (not shared with other products)","Valore univoco (non condiviso con altri prodotti)"
"Not shared with other products","Non condiviso con altri prodotti"
"Input Validation for Store Owner","Convalida dell'input per proprietario del negozio"
"Add to Column Options","Aggiungi alle Opzioni di Colonna"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selezionare ""Sì"" per aggiungere questo attributo alla lista delle opzioni di colonna nella griglia prodotto."
"Use in Filter Options","Usa nelle opzioni del filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Seleziona ""Sì"" per aggiungere questo attributo all'elenco di opzioni filtro nella griglia prodotti."
"Store View","Vista Negozio"
"Website","Website"
"Global","Globale"
"Scope","Ambito di applicazione"
"Declare attribute value saving scope","Dichiara ambito di salvataggio valore attributo"
"Storefront Properties","Proprietà Frontend negozio"
"Use in Search","Usa nella ricerca"
"Visible in Advanced Search","Visibile nella ricerca avanzata"
"Comparable on Storefront","Comparabili nel Negozio"
"Use for Promo Rule Conditions","Usa per le condizioni delle regole promozionali"
"Enable WYSIWYG","Abilita WYSIWYG"
"Allow HTML Tags on Storefront","Permetti Tag HTML nel frontend"
"Visible on Catalog Pages on Storefront","Visibile sulle pagine di catalogo nel frontend"
"Used in Product Listing","Usato per la lista prodotti"
"Depends on design theme","Dipende dal tema di design"
"Used for Sorting in Product Listing","Utilizzato per l'ordinamento nella lista prodotti"
"Media Image","Immagine media"
"Gallery","Galleria"
"System Properties","Proprietà di sistema"
"No","No"
"Yes","Sì"
"Data Type for Saving in Database","Tipo di dati per il salvataggio nel Database"
"Text","Testo"
"Varchar","Varchar"
"Static","Statico"
"Datetime","DateTime"
"Decimal","Decimale"
"Integer","Numero intero"
"Globally Editable","Modificabile Globalmente"
"Attribute Information","Informazione Attributo"
"Properties","Proprietà"
"Manage Labels","Gestisci Etichette"
"Visible","Visibile"
"Web Site","Website"
"Searchable","Ricercabile"
"Comparable","Confrontabile"
"Delete Selected Group","Elimina Gruppo Selezionato"
"Add New","Aggiungi Nuovo"
"Back","Indietro"
"Delete","Elimina"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Stai per eliminare tutti i prodotti in questo Gruppo di attributi. Sei sicuro procedere?"
"Save","Salva"
"New Set Name","Nome Nuovo Set"
"Edit Attribute Set '%1'","Modifica il Gruppo di attributi '%1'"
"Empty","Vuoto"
"Add Attribute","Aggiungi attributo"
"Add New Group","Aggiungi nuovo gruppo"
"Add Group","Aggiungi gruppo"
"Edit Attribute Set Name","Modifica il nome del Gruppo di attributi"
"For internal use","Per uso interno"
"Based On","Basato su"
"Add New Attribute Set","Aggiungi nuovo Gruppo di attributi"
"Add Attribute Set","Aggiungi Gruppo di attributi"
"Attribute Sets","Gruppo di attributi"
"Close Window","Chiudi finestra"
"New Product","Nuovo prodotto"
"Save & Edit","Salva e modifica"
"Save & New","Salva e Nuovo"
"Save & Duplicate","Salva e Duplica"
"Save & Close","Salva e Chiudi"
"Attributes","Attributi"
"Change","Modifica"
"Advanced Inventory","Inventario Avanzato"
"Websites","Website"
"Products Information","Informazioni prodotti"
"Category Name","Nome categoria"
"Parent Category","Categoria genitore"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>."
"We saved the price alert subscription.","L'iscrizione all'avviso di prezzo è stata salvata."
"We saved the stock notification.","La notifica dell'inventario è stata salvata."
"There are no customers for this alert.","Non ci sono clienti per questo avviso."
"First Name","Nome"
"Last Name","Cognome"
"Email","Email"
"Subscribe Date","Data di iscrizione"
"Last Notified","Notificato ultima volta"
"Send Count","Invia totale"
"New Attribute","Nuovo attributo"
"Type","Tipo"
"Attribute Set","Set di attributi"
"Status","Status"
"Visibility","Visibilità"
"Add New Option","Aggiungi nuova opzione"
"Import Options","Opzioni di importazione"
"Use Default","Usa predefinito"
"Import","Importa"
"Add New Row","Aggiungi nuova riga"
"Delete Row","Elimina riga"
"Tier Pricing","Fascia di prezzo"
"Default Price","Prezzo predefinito"
"All Websites","Tutti i Website"
"ALL GROUPS","TUTTI I GRUPPI"
"Add Price","Aggiungi prezzo"
"Default Values","Valori predefiniti"
"Related Products","Prodotti correlati"
