"Catalog Price Rule","Regola di prezzo del catalogo"
"Add New Rule","Aggiungi nuova regola"
"Apply Rules","Applica regole"
"Save and Apply","Salva e applica"
"Save and Continue Edit","Salva e continua modifica"
"Edit Rule '%1'","Modifica regola '%1'"
"New Rule","Nuova regola"
"Rule Information","Informazioni sulle regole"
"Actions","Azioni"
"Pricing Structure Rules","Regole struttura prezzi"
"Apply","Applica"
"Apply as percentage of original","Applica come percentuale dell'originale"
"Apply as fixed amount","Applica come importo fisso"
"Adjust final price to this percentage","Regola il prezzo finale a questa percentuale"
"Adjust final price to discount value","Regola il prezzo finale al valore di sconto"
"Discount Amount","Sconto quantità"
"Subproduct discounts","Sconti sottoprodotti"
"No","No"
"Yes","Sì"
"Discard subsequent rules","Scartare le regole successive"
"Conditions","Condizioni"
"Conditions (don't add conditions if rule is applied to all products)","Condizioni (non aggiungere condizioni se la regola viene applicata a tutti i prodotti)"
"General Information","Informazioni Generali"
"Rule Name","Nome regola"
"Description","Descrizione"
"Status","Status"
"Active","Attiva"
"Inactive","Inattivo"
"Websites","Siti Web"
"Customer Groups","Gruppi cliente"
"From","Da"
"To","A"
"Priority","Priorità"
"ID","ID"
"Type","Tipo"
"Attribute Set","Set di attributi"
"SKU","SKU"
"Product","Prodotto"
"Promotions","Promozioni"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Trovate delle regole aggiornate che non sono state applicate. Cliccare su ""Applica regole"" per aggiornare il catalogo."
"We can't apply the rules.","Impossibile applicare le regole."
"You deleted the rule.","Hai eliminato la regola."
"We can't delete this rule right now. Please review the log and try again.","Al momento non è possibile eliminare questa regola. Consultare i log e riprovare."
"We can't find a rule to delete.","Impossibile trovare la regola da eliminare."
"This rule no longer exists.","Questa regola non esiste più."
"New Catalog Price Rule","Nuova regola di prezzo del catalogo"
"Edit Rule","Modifica regola"
"Catalog","Catalogo"
"Wrong rule specified.","Regola specificata errata."
"You saved the rule.","La regola è stata salvata."
"Something went wrong while saving the rule data. Please review the error log.","Qualcosa è andato storto durante il salvataggio dei dati della regola. Consulta il log degli errori."
"Promo","Promo"
"Could not rebuild index for empty products array","Non è possibile ricostruire l'indice per array prodotti vuoto"
"We can't rebuild the index for an undefined product.","Impossibile ricostruire l'indice per un prodotto indefinito."
"Percentage discount should be between 0 and 100.","La percentuale di sconto deve essere compresa tra 0 e 100."
"Discount value should be 0 or greater.","Il valore di sconto deve essere maggiore o uguale a 0."
"Unknown action.","Azione sconosciuta."
"Update the Product","Aggiornamento del prodotto"
"Rule price","Regola prezzo"
"To Fixed Value","A valore fisso"
"To Percentage","In percentuale"
"By Fixed value","Di un valore fisso"
"By Percentage","In percentuale"
"Update product's %1 %2: %3","Aggiornamento %1 %2 del prodotto: %3"
"Conditions Combination","Combinazione di condizioni"
"Product Attribute","Attributo Prodotto"
"Updated rules applied.","Regole aggiornate applicate."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Hai disabilitato %1 regole di prezzo del catalogo basate sull'attributo ""%2""."
"Catalog Rule Product","Regola catalogo prodotto"
"Indexed rule/product association","Associazione regola/prodotto indicizzata"
"Catalog Product Rule","Regola prodotto cagalogo"
"Indexed product/rule association","Associazione prodotto/regola indicizzato"
"Rule","Regola"
"Start","Inizia"
"End","Fine"
"Web Site","Website"
