"Smth went to exception","Smth andato in eccezione"
"You removed this %1 from the update and saved it in a new one.","Hai rimosso questa %1 dall\'aggiornamento e salvato in una nuova."
"You removed this %1 from the update and saved it in the other one.","Hai rimosso questa %1 dall\'aggiornamento e salvato in altro."
"You removed this %1 from the update.","Hai rimosso questo %1 dall\'aggiornamento."
"Required parameters are missing.","I parametri richiesti sono mancanti."
"You saved this %1 update.","Hai salvato questo aggiornamento %1."
"ID","ID"
"Rule","Regola"
"Priority","Priorità"
"Web Site","Website"
"Action","Azione"
"Edit","Modifica"
"Scheduled Changes","Scheduled Changes"
"Start Date","Data Inizio"
"Start Time","Ora di inizio"
"Name","Nome"
"Description","Descrizione"
"End Date","Data Fine"
"End Time","Ora di fine"
"Update Information","Aggiorna Informazioni"
"Remove Catalog Rule from Update","Rimuovere la regola di catalogo dall'aggiornamento"
"Save as a new update","Salva come un nuovo aggiornamento"
"Update Name","Aggiorna nome"
"Start date","Data Inizio"
"End date","Data Fine"
"Rule Information","Informazioni sulle regole"
"Conditions","Condizioni"
"Actions","Azioni"
"Move to another scheduled change","Move to another scheduled change"
"Delete the scheduled change","Delete the scheduled change"
"Deleting the change will remove the catalog rule from this update and all scheduled changes will be lost.","Deleting the change will remove the catalog rule from this update and all scheduled changes will be lost."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Websites","Siti Web"
"Catalog Price Rules","Regole di prezzo del catalogo"
