"This block no longer exists.","Questo blocco non esiste più."
"You removed this %1 from the update and saved it in a new one.","Hai rimosso questa %1 dall\'aggiornamento e salvato in una nuova."
"You removed this %1 from the update and saved it in the other one.","Hai rimosso questa %1 dall\'aggiornamento e salvato in altro."
"You removed this %1 from the update.","Hai rimosso questo %1 dall\'aggiornamento."
"Required parameters are missing.","I parametri richiesti sono mancanti."
"You saved this %1 update.","Hai salvato questo aggiornamento %1."
"Something went wrong while saving the %1.","Qualcosa è andato storto durante il salvataggio del %1."
"Something went wrong","Qualcosa è andato storto"
"Scheduled Changes","Modifiche pianificate"
"Start Date","Data Inizio"
"Start Time","Start Time"
"Name","Nome"
"Description","Descrizione"
"Action","Azione"
"End Date","Data Fine"
"End Time","End Time"
"Update Information","Aggiorna Informazioni"
"Remove CMS block from Update","Remove CMS block from Update"
"Save as a new update","Salva come un nuovo aggiornamento"
"Update Name","Aggiorna nome"
"Start date","Data Inizio"
"End date","Data Fine"
"General Information","Informazioni Generali"
"Enable Block","Abilita blocco"
"Block Title","Titolo blocco"
"Identifier","Identificatore"
"Store View","Vista Negozio"
"Move to another scheduled change","Move to another scheduled change"
"Delete the scheduled change","Delete the scheduled change"
"Deleting the change will remove the block from this update and all scheduled changes will be lost.","Deleting the change will remove the block from this update and all scheduled changes will be lost."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Remove CMS page from Update","Remove CMS page from Update"
"Enable Page","Abilita pagina"
"Page Title","Titolo della pagina"
"Content","Contenuto"
"Content Heading","Content Heading"
"Search Engine Optimisation","Ottimizzazione per i motori di ricerca"
"URL Key","Chiave URL"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Page in Websites","Page in Websites"
"Design","Design"
"Layout","Layout"
"Layout Update XML","Aggiornamento del layout XML"
"Custom Design Update","Custom Design Update"
"From","Da"
"To","A"
"New Theme","Nuovo tema"
"-- Please Select --","-- Seleziona --"
"New Layout","Nuovo Layout"
"Deleting the change will remove the page from this update and all scheduled changes will be lost.","Deleting the change will remove the page from this update and all scheduled changes will be lost."
"CMS Pages","Pagine CMS"
"CMS Blocks","Blocchi CMS"
"ID","ID"
"Title","Titolo"
"Status","Stato"
