"Default Config","Configurazione predefinita"
"Save Config","Salva configurazione"
"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"Use Default","Usa predefinito"
"Use Website","Usa website"
"Add","Aggiungi"
"Delete File","Elimina File"
"Search String","Stringa di ricerca"
"Design Theme","Tema"
"Add \Exception","Aggiungere \Exception"
"-- No Theme --","-- Nessun tema --"
"Enable","Attiva"
"Disable","Disattiva"
"Configuration","Configurazione"
"System","Sistema"
"You saved the configuration.","Hai salvato la configurazione."
"Something went wrong while saving this configuration:","Qualcosa è andato storto durante il salvataggio di questa configurazione:"
"Page not found.","Pagina non trovata."
"Please specify the admin custom URL.","Specificare l'admin URL personalizzato."
"Invalid %1. %2","%1 non valido. %2"
"Value must be a URL or one of placeholders: %1","Il valore deve essere un URL o uno dei segnaposto: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specificare un URL o un percorso che inizia con segnaposto/i: %1 e termina con ""/""."
"%1 An empty value is allowed as well.","%1 è consentito anche un valore vuoto."
"Specify a fully qualified URL.","Specificare un URL completo."
"Selected allowed currency ""%1"" is not available in installed currencies.","La valuta consentita selezionata ""%1"" non è disponibile tra le valute installate."
"Default display currency ""%1"" is not available in allowed currencies.","La valuta visualizzata come predefinita ""%1"" non è disponibile tra le valute consentite."
"Sorry, we haven't installed the base currency you selected.","La valuta di base selezionata non è installata."
"We can't save the Cron expression.","Non possiamo salvare l'espressione Cron."
"Sorry, we haven't installed the default display currency you selected.","La valuta da mostrare come predefinita che hai scelto non è installata."
"Sorry, the default display currency you selected is not available in allowed currencies.","La valuta da mostrare come predefinita selezionata non è disponibile tra le valute consentite."
"Please correct the email address: ""%1"".","Correggi l'indirizzo email: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Il nome del mittente ""%1"" non è valido. Utilizza solo caratteri visibili e spazi."
"Maximum sender name length is 255. Please correct your settings.","La lunghezza massima del nome del mittente è 255. Correggi le tue impostazioni."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Il file che stai caricando supera il limite di %1 kilobytes del server."
"The base directory to upload file is not specified.","La directory di base per caricare file non è specificata."
"The specified image adapter cannot be used because of: %1","L'immagine adatta specificata non può essere usata a causa di: %1"
"Default scope","Ambito di applicazione predefinito"
"Base currency","Valuta di base"
"Display default currency","Visualizzare la valuta predefinita"
"website(%1) scope","website(%1) ambito di applicazione"
"store(%1) scope","negozio(%1) ambito di applicazione"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" è utilizzata come %2 in %3."
"Please correct the timezone.","Correggi il fuso orario."
"The file ""%1"" does not exist","Il file ""%1"" non esiste"
"Always (during development)","Sempre (durante lo sviluppo)"
"Only Once (version upgrade)","Solo una volta (aggiornamento versione)"
"Never (production)","Mai (produzione)"
"Bcc","Bcc"
"Separate Email","Separare le Email"
"%1 (Default)","%1 (Predefinito)"
"title","titolo"
"No","No"
"Optional","Opzionale"
"Required","Obbligatorio"
"Website","Website"
"Store","Negozio"
"Store View","Vista Negozio"
"HTTP (unsecure)","HTTP (non sicura)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Sì (302 trovati)"
"Yes (301 Moved Permanently)","Sì (301 Redirect Permanente)"
"Yes","Sì"
"Specified","Specificato"
"Config form fieldset clone model required to be able to clone fields","Model clone fieldset form config richiede l'abilitazione della clonazione dei campi"
"Invalid XML in file %1:
%2","XML non valido nel file %1: 
%2"
".","."
"some_label","some_label"
"some_comment","some_comment"
"some prefix","alcuni prefissi"
"element label","etichetta elemento"
"element hint","suggerimento elemento"
"element comment","commento elemento"
"element tooltip","elemento tooltip"
"test","test"
"test2","test2"
"Add after","Aggiungi dopo"
"Delete","Elimina"
"Current Configuration Scope:","Ambito di configurazione corrente:"
"Stores","Negozi"
"Group Label","Etichetta gruppo"
"Some Label","Alcune etichette"
"Tab Label","Etichetta scheda"
"Field 2","Campo 2"
"Field 3","Campo 3"
"Field 3.1","Campo 3.1"
"Field 3.1.1","Campo 3.1.1"
"Field 4","Campo 4"
