"Add configurable attributes to the current Attribute Set (""%1"")","Aggiungi attributi configurabili al set di attributi corrente (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Aggiungi attributi configurabili al nuovo set di attributi basato su quello corrente"
"New attribute set name","Nome nuovo set di attributi"
"Add configurable attributes to the existing Attribute Set","Aggiungi attributi configurabili al set di attributi esistente"
"Choose existing Attribute Set","Scegli il set di attributi esistente"
"Configurations","Configurazioni"
"Attribute Values","Valori attributo"
"Bulk Images &amp; Price","Immagini in massa e Prezzo"
"Create New Attribute","Crea nuovo attributo"
"Select Attributes","Selezionare gli attributi"
"Summary","Riepilogo"
"Choose an Option...","Scegli un'opzione..."
"This attribute is used in configurable products.","Questo attributo è utilizzato nei prodotti configurabili."
"Product has been already attached","Il prodotto è già stato associato"
"Product with specified sku: %1 is not a configurable product","Il prodotto con lo sku specificato: %1 non è un prodotto configurabile"
"Requested option doesn't exist","L'opzione richiesta non esiste"
"Requested option doesn't exist: %1","L'opzione richiesta non esiste: %1"
"Cannot delete variations from product: %1","Impossibile eliminare le varianti del prodotto: %1"
"Cannot delete option with id: %1","Non è possibile eliminare l'opzione con id %1"
"Option with id ""%1"" not found","Opzione con id ""%1"" non trovata"
"Could not update option with id ""%1""","Impossibile aggiornare l'opzione con id ""%1"""
"Product already has this option","Il prodotto ha già questa opzione"
"Something went wrong while saving option.","Qualcosa è andato storto durante il salvataggio dell'opzione."
"Only implemented for configurable product: %1","Implementato solo per prodotti configurabili: %1"
"Option attribute ID is not specified.","ID attributo opzione non specificato."
"Option label is not specified.","Etichetta opzione non specificata."
"Option values are not specified.","Valori opzione non specificati."
"Value index is not specified for an option.","Indice del valore non è specificato per una opzione."
"The configurable product does not have any variation attribute.","Il prodotto configurabile non ha nessuna variazione attributo."
"Product with id ""%1"" does not exist.","Il prodotto con l'id ""%1"" non esiste."
"Product with id ""%1"" does not contain required attribute ""%2"".","Il prodotto con l'id ""%1"" non contiene l'attributo obbligatorio ""%2""."
"Products ""%1"" and %2 have the same set of attribute values.","I prodotti ""%1"" e %2 hanno gli stessi valori di set di attributi."
"You can't add the item to shopping cart.","Non è possibile aggiungere l'articolo al carrello."
"You need to choose options for your item.","Seleziona le opzioni per il prodotto."
"Some product variations fields are not valid.","Alcuni campi delle varianti del prodotto non sono validi."
"Configuration must have specified attributes","Configurazione deve avere gli attributi specificati"
"Configurable product ""%1"" do not have sub-products","Il prodotto configurabile ""%1"" non ha sub-prodotti"
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Questo gruppo contiene degli attributi utilizzati in prodotti configurabili. Sposta questi attributi in un altro gruppo e riprova."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Questo attributo viene utilizzato nei prodotti configurabili. Non è possibile rimuoverlo dal set di attributi."
"Associated Products","Prodotti associati"
"Step 2: Attribute Values","Passo 2: Valori attributo"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Seleziona i valori da ogni attributo per includerli in questo prodotto. Ogni combinazione univoca di valori crea uno SKU prodotto univoco."
"Sort Variations","Ordina varianti"
"Options","Opzioni"
"Select All","Seleziona tutto"
"Deselect All","Deseleziona tutto"
"Remove Attribute","Rimuovi attributo"
"Save Option","Salva opzione"
"Remove Option","Rimuovi opzione"
"Create New Value","Crea un nuovo valore"
"Step 3: Bulk Images, Price, and Quantity","Passo 3: immagini Bulk, prezzo e quantità"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","I nuovi prodotti verranno creati <span class=""new-products-count"" data-bind=""text:countVariations""></span>         in base alle tue selezioni. Usa questo passaggio per personalizzare le immagini ed il prezzo dei nuovi prodotti."
"Images","Immagini"
"Apply single set of images to all SKUs","Applica un singolo set di immagini per tutti gli SKU"
"Apply unique images by attribute to each SKU","Applica immagine unica per attributo per ogni SKU"
"Skip image uploading at this time","Salta il caricamento dell'immagine in questo momento"
"Browse Files...","Sfoglia i file..."
"Browse to find or drag image here","Sfoglia o trascina l'immagine qui"
"Remove image","Rimuovi immagine"
"Edit role","Modifica ruolo"
"Hidden","Nascosto"
"Alt Text","Testo alternativo"
"Role","Ruolo"
"Hide from Product Page","Nascondi dalla pagina prodotto"
"Select attribute","Seleziona attributo"
"Select","Seleziona"
"Price","Prezzo"
"Apply single price to all SKUs","Applica il prezzo singolo per tutti gli SKU"
"Apply unique prices by attribute to each SKU","Applica prezzo unico per attributo per ogni SKU"
"Skip price at this time","Salta prezzo in questo momento"
"Quantity","Quantità"
"Apply single quantity to each SKUs","Applica quantità singola per ogni Sku"
"Apply unique quantity by attribute to each SKU","Applica quantità unica per attributo per ogni SKU"
"Skip quantity at this time","Salta quantità in questo momento"
"Step 1: Select Attributes","Passo 1: Selezionare gli attributi"
"Selected Attributes:","Attributi selezionati:"
"Step 4: Summary","Passo 4: Riepilogo"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","I prodotti configurabili consentono ai clienti di scegliere tra diverse opzioni (es: colore camicia).                     Devi creare un prodotto semplice per ogni configurazione (es: un prodotto per ogni colore)."
"Edit Configurations","Modifica configurazioni"
"Create Configurations","Crea configurazioni"
"Add Products Manually","Aggiungi manualmente i prodotti"
"Current Variations","Variazioni correnti"
"Image","Immagine"
"Name","Nome"
"SKU","SKU"
"Weight","Peso"
"Actions","Azioni"
"Upload Image","Carica immagine"
"Upload image","Carica immagine"
"No Image","Nessuna immagine"
"Choose a different Product","Scegli un prodotto diverso"
"Remove Product","Rimuovere il prodotto"
"Create Product Configurations","Crea configurazioni prodotto"
"Choose Affected Attribute Set","Scegliere il set di attributi interessato"
"Confirm","Conferma"
"Cancel","Annulla"
"Incl. Tax","Tasse incl."
"Select Associated Product","Seleziona prodotto associato"
"Done","Fatto"
"For better results, add attributes and attribute values to your products.","Per ottenere risultati migliori, aggiungere gli attributi e i valori di attributo ai tuoi prodotti."
"An attribute has been removed. This attribute will no longer appear in your configurations.","Un attributo è stato rimosso. Questo attributo non verrà visualizzato nelle tue configurazioni."
"Select options for all attributes or remove unused attributes.","Selezionare le opzioni per tutti gli attributi o rimuovi gli attributi inutilizzati."
"Please, select attribute for the section ","Seleziona un attributo per la sezione "
"Please fill in the values for the section ","Compila i valori per questa sezione "
"Please, fill correct values","Inserisci i valori corretti"
"Please, select image(s) for your attribute","Seleziona le immagini per il tuo attributo"
"Please choose image(s)","Scegli le immagini"
"We could not detect a size.","Non è possibile individuare una dimensione."
"We don't recognize or support this file extension type.","Non è possibile riconoscere o supportare questo tipo di estensione file."
"Please, select attribute(s)","Seleziona uno o più attributi"
"Generate Products","Genera prodotti"
"Configurable Product Image","Immagine del prodotto configurabile"
"Select...","Seleziona..."
"Status","Status"
"ID","ID"
"Thumbnail","Miniatura"
"Attribute Code","Codice Attributo"
"Attribute Label","Etichetta attributo"
"Required","Obbligatorio"
"System","Sistema"
"Visible","Visibile"
"Scope","Ambito di applicazione"
"Searchable","Ricercabile"
"Comparable","Confrontabile"
