"Save Currency Rates","Salva i tassi di cambio valuta"
"Reset","Reset"
"Import","Importa"
"Manage Currency Rates","Gestisci tassi di cambio valuta"
"Import Service","Servizio di importazione"
"Save Currency Symbols","Salvare i simboli di valuta"
"Currency Symbols","Simboli valuta"
"Use Standard","Uso Standard"
"Please specify a correct Import Service.","Specifica un servizio di importazione valido."
"We can't initialize the import model.","Non è possibile inizializzare il modello di importazione."
"Click ""Save"" to apply the rates we found.","Fare clic su ""Salva"" per applicare le tariffe che abbiamo trovato."
"Currency Rates","Tassi valuta"
"Please correct the input data for %1 => %2 rate","Correggi i dati di input per %1 => tasso %2"
"All valid rates have been saved.","Tutte le tariffe valide sono state salvate."
"System","Sistema"
"You applied the custom currency symbols.","Hai applicato i simboli di valuta personalizzato."
"Old rate:","Tasso precedente:"
