"Grouped Products","Prodotti raggruppati"
"Please specify the quantity of product(s).","Specifica la quantità di prodotti."
"Cannot process the item.","Impossibile elaborare l'elemento."
"Associated Products","Prodotti associati"
"Availability:","Disponibilita':"
"Out of stock","Non Disponibile"
"ID","ID"
"SKU","SKU"
"Product Name","Nome prodotto"
"Price","Prezzo"
"Qty","Qtà"
"No options of this product are available.","Nessuna opzione di questo prodotto è disponibile."
"There are no grouped products.","Non esistono prodotti raggruppati."
"Name","Nome"
"Default Qty","Qtà predefinita"
"Starting at","A partire da"
"Availability","Disponibilita'"
"In stock","Disponibile"
"Grouped product items","Elementi prodotti raggruppati"
"Add Products to Group","Aggiungi i prodotti al gruppo"
"Add Selected Products","Aggiungi prodotti selezionati"
"Grouped Product Image","Immagine del prodotto raggruppato"
