"Back","Indietro"
"Save Warehouse","Salvare il magazzino"
"Disable Warehouse","Disabilita il magazzino"
"Enable Warehouse","Abilitare il magazzino"
"Warehouse","Magazzino"
"New Warehouse","Nuovo magazzino"
"Manage Warehouse","Gestisci magazzino"
"Please correct the data sent.","Si prega di correggere i dati inviati."
"Please select a user","Selezionare un utente"
"Requested warehouse doesn\'t exist","Requested warehouse doesn\'t exist"
"Test error message","Messaggio di errore di prova"
"Edit","Modifica"
"Multiple Location Inventory","Multiple Location Inventory"
"Change status of warehouse","Change status of warehouse"
"Edit warehouse","Edit warehouse"
"Manage Warehouses","Manage Warehouses"
"Warehouse Information","Informazioni magazzino"
"Use default address","Utilizzare l'indirizzo predefinito"
"Street Address","Indirizzo"
"Add New Warehouse","Aggiungi un nuovo magazzino"
"ID","ID"
"Name","Nome"
"Contact Name","Nome"
"Email","Email"
"Country","Paese"
"State/Province","Stato/Provincia"
"City","Città"
"Street","Via"
"ZIP","CAP"
"Status","Status"
"Phone","Telefono"
"Fax","Fax"
