"Swatch Helper: not valid parameter for product instantiation","Helper Anteprima di selezione: parametro non valido per la creazione di istanze di prodotto"
"Admin is a required field in the each row","Admin è un campo obbligatorio in ogni riga"
"Update Product Preview Image","Aggiorna Immagine anteprima prodotto"
"Filtering by this attribute will update the product image on catalog page","Filtrando per questo attributo aggiornerà l'immagine del prodotto nella pagina catalogo"
"Use Product Image for Swatch if Possible","Usa l'immagine di prodotto per le anteprime di selezione se possibile"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Permetti di usare la logica di fallback per sostituire le immagini di anteprima di selezione con le anteprime di selezione del prodotto o l'immagine principale"
"Visual Swatch","Anteprima di selezione visuale"
"Text Swatch","Anteprima di selezione testuale"
"Manage Swatch (values of your attribute)","Gestisci anteprima di selezione (valori del tuo attributo)"
"Is Default","È predefinito"
"Add Swatch","Aggiungi anteprima di selezione"
"Sort Option","Opzioni di ordinamento"
"Delete","Elimina"
"Swatch","Anteprima di selezione"
"Step 2: Attribute Values","Passo 2: Valori attributo"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Seleziona i valori da ogni attributo per includerli in questo prodotto. Ogni combinazione univoca di valori crea uno SKU prodotto univoco."
"Sort Variations","Ordina varianti"
"Options","Opzioni"
"Select All","Seleziona tutto"
"Deselect All","Deseleziona tutto"
"Remove Attribute","Rimuovi attributo"
"Save Option","Salva opzione"
"Remove Option","Rimuovi opzione"
"Create New Value","Crea un nuovo valore"
"Swatches per Product","Anteprime di selezione per prodotto"
