"Condition type ""%1"" is not allowed","Non è consentito il tipo di condizione ""%1"""
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Il parametro di configurazione ""formElement"" è obbligatorio per ""%1"" campo."
"Remove %1","Rimuovi %1"
"Add New %1","Aggiungi nuovo %1"
"New %1","Nuovo %1"
"Please select item(s).","Seleziona elementi."
"Unsupported bookmark action.","Azione di segnalibro non supportato."
"Initialization error component, check the spelling of the name or the correctness of the call.","Errore inizializzazione componente, verifica l'ortografia del nome o della correttezza della chiamata."
"Bookmark with id ""%1"" does not exist.","Il segnalibro con id ""%1"" non esiste."
"Next","Successivo"
"Back","Indietro"
"Cancel","Annulla"
"Go to Details Page","Vai alla pagina dei dettagli"
"Please enter more or equal than {0} symbols.","Inserisci un numero di simboli maggiori o uguali a {0}."
"Please enter less or equal than {0} symbols.","Inserisci un numero di simboli minore o uguale a {0}."
"Please enter {0} words or less.","Inserisci {0} parole o meno."
"Please enter at least {0} words.","Inserisci almeno {0} parole."
"Please enter between {0} and {1} words.","Inserisci un numero di parole tra {0} e {1}."
"Letters or punctuation only please","Solo lettere o segni di punteggiatura"
"Letters, numbers, spaces or underscores only please","Solo lettere, numeri, spazi e underscore"
"Letters only please","Solo lettere"
"No white space please","Nessuno spazio bianco"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Il tuo codice postale deve essere nell'intervallo 902xx-xxxx a 905-xx-xxxx"
"A positive or negative non-decimal number please","Inserisci un numero positivo o negativo non decimale"
"The specified vehicle identification number (VIN) is invalid.","Il numero di identificazione specificato del veicolo (VIN) non è valido."
"Please enter a correct date","Inserisci una data corretta"
"Vul hier een geldige datum in.","Vul hier een geldige datum in."
"Please enter a valid time, between 00:00 and 23:59","Inserisci un'ora valida, dalle 00:00 alle 23.59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Inserisci un'ora valida, dalle 00:00 am alle 12:00 pm"
"Please specify a valid phone number","Specifica un numero di telefono valido"
"Please specify a valid mobile number","Specifica un numero di cellulare valido"
"Please enter at least {0} characters","Inserisci almeno {0} caratteri"
"Please enter a valid credit card number.","Inserisci un numero di carta di credito valida."
"Please enter a valid IP v4 address.","Inserisci un indirizzo IP v4 valido."
"Please enter a valid IP v6 address.","Inserisci un indirizzo IP v6 valido."
"Invalid format.","Formato non valido."
"HTML tags are not allowed.","I tag HTML non sono ammessi."
"Please select an option.","Seleziona un'opzione."
"Empty Value.","Valore vuoto."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o spazi in questo campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) in questo campo, e il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Utilizza solo lettere (a-z o A-Z), numeri (0-9), spazi e ""#"" in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserisci un numero di telefono valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Inserisci un numero di fax valido (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Inserisci un indirizzo email valido (Ex: johndoe@dominio.it)."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Inserisci 6 o più caratteri. Gli spazi iniziali o finali verranno ignorati."
"Please enter 7 or more characters, using both numeric and alphabetic.","Inserisci 7 o più caratteri, utilizzando sia caratteri numerici che alfabetici."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Inserisci una URL valida. È necessario specificare il protocollo (http://, https:// o ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Inserisci una URL valida. Ad esempio http://www.example.com o www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Inserisci un identificatore XML valido (Es: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Inserisci un numero di previdenza sociale valido (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Inserisci un Cap valido (Es: 09032)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Usa questo formato data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 marzo, 2006."
"Please enter a valid $ amount. For example $100.00.","Inserisci un importo € valido. Per esempio €100,00."
"Please enter a number 0 or greater in this field.","Inserire un numero maggiore o uguale a 0 in questo campo."
"Please enter a number greater than 0 in this field.","Inserisci un numero maggiore di 0 in questo campo."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Inserisci una lunghezza CSS valida (Es: 100px, 77pt, 20em, .5ex o 50%)."
