"No token found.","Nessun token trovato."
"Wrong request.","Richiesta errata."
"Deletion failure. Please try again.","Errore di eliminazione. Si prega di riprovare."
"Credit Card was successfully removed","Carta di credito rimossa correttamente"
"My Credit Cards","Le mie carte di credito"
"Select vault provider","Selezionare provider vault"
"vault_payment1","vault_payment1"
"vault_payment2","vault_payment2"
"Card Number","Numero di carta"
"Expiration Date","Data di scadenza"
"Type","Tipo"
"You have no credit cards.","Non hai carte di credito."
"Actions","Azioni"
"Delete","Elimina"
"Cancel","Annulla"
"Vault Provider","Provider Vault"
"Specified provider should be enabled.","Il provider specificato deve essere abilitato."
