"Backup options","Opzioni backup"
"Warning","Attenzione"
"Cancel","Annulla"
"Ok","Ok"
"Insert Widget...","Inserisci Widget..."
"No records found.","Nessun record trovato."
"Recent items","Elementi recenti"
"Show all...","Mostra tutto..."
"Method %s does not exist on jQuery.decorate","Non esiste un metodo %s su jQuery.decorate"
"Close","Chiudi"
"Please wait...","Attendere..."
"Loading...","Caricamento..."
"All ","Tutti "
"more","più"
"Save","Salva"
"Translate","Traduci"
"Submit","Invia"
"Please enter a value less than or equal to %s.","Inserisci un valore minore o uguale a %s."
"Please enter a value greater than or equal to %s.","Inserisci un valore maggiore o uguale a %s."
"Maximum length of this field must be equal or less than %1 symbols.","La lunghezza massima di questo campo deve essere uguale o minore di %1 simboli."
"This is a required field.","Questo è un campo obbligatorio."
"Please enter a date between %min and %max.","Inserisci una data tra %min e %max."
"Please enter a valid year (1900-%1).","Inserisci un anno valido (1900-%1)."
"Please enter a valid day (1-%1).","Inserisci un giorno valido (1-%1)."
"Please enter a date from the past.","Inserisci una data del passato."
